GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Persona - Uso de Plugins y Pruebas,com.trabajoTeorico2.persona,Persona,11,91,6,16,5,25,9,13,3,8
Persona - Uso de Plugins y Pruebas,com.trabajoTeorico2.persona,App,3,36,0,0,1,9,1,1,1,1
